"type","id","latitude","longitude","name","description","image_url","date_added"
"gym","1cf8704329164ca595bed81c90c3e143.16","52.633074","1.444232","Blofield Court House","Steps and doorway to the court house.","http://lh5.ggpht.com/83sgVmLA0ThOAUPnYKOlyS6pvQT7TaiWZms0rI6N3wNnpRI5vH0Q8BMML7baEE5NFVElIiC9oaL5ITori8LL","2018-04-11"
"gym","1d9165638a814aa1be53555aa2c038c8.16","52.617561","1.258893","South Park Fryer","","http://lh4.ggpht.com/xft9wOpyCKdXOd6aShHd5NiOq1XTWhjBcx_MkiAgALxQfMuuXJTFfVA4oth_E5POdXJSgSVlguO_Er17jM0","2018-04-11"
"gym","1e7721217e444f2488525f68a5d87e2d.16","52.625527","1.267403","Support","Wall decoration","http://lh4.ggpht.com/1X9PEUtgXplPf4PoEk1RnlcWk6rSKkiMrNDhT7FECeyXy3BYBpeKU6pLBInFsbCpvlz6cVV0TaTNPNZvjSjQ6A","2018-04-11"
"gym","1faebaf2c48d45659cb21efc3fab0cf6.16","52.65933","1.210397","Harte of Costessey","It's here roundabouts.","http://lh3.ggpht.com/QcekOYIAASa26-5ap_qPTaUG83844pTNY7cSJEai_8pO9JYgbMAfzUVBLZFRwRf2UxEDNK1wcT9DV7wvpc6L","2018-04-11"
"gym","1fc4b2f40bdb489c916124383c9429a2.16","52.608591","1.251622","Eaton Elephant","","http://lh3.ggpht.com/J3OirbyznvkjZXKhixHgcV7CFYOrFxGb6b-96sUIUELNY3ZP7lLUMgy8xEavXBe3tYoFzHN4sTbijeen8oH9","2018-04-11"
"gym","1fea8095910946fe9bc308790c2e94f0.16","52.574963","1.243683","Saint Mary's Church, Swardeston","","http://lh5.ggpht.com/o2Kc4WKU0cfPmHkl7N2M3wUpMqeSzdQU9Ey0-9bBdpQnXkXTCfJB3D9LqBrt4F0VNJ2Ot0I6c3xf07mAtz8","2018-04-11"
"gym","1ff73acb8353415f89cbc6da88cba6c7.16","52.625764","1.342673","The Rushcutters","","http://lh3.googleusercontent.com/zil88M99-_CcVVOAQ30jYwpp3HGoF4BOSO1dDG82xRXR3OqU67tg7cKlKd0Kthynv18gLK2yylLg6gKjY106","2018-04-11"
"gym","210093f3daab49d1be5e3b506b23a7f1.16","52.663681","1.325212","St. Mary and St. Margaret Church","","http://lh4.ggpht.com/GImmd89-PvzGa0IpnfYgZhDbSWpD9EsNQb5UraKRnUN4gypEAF3aQmYygYOUljjHXps4IXVfAzm62pIZHDhlSQ","2018-04-11"
"gym","210e717a38764e6b8adab0b45966abfd.16","52.602462","1.276191","Trifle Chimneys","","http://lh5.ggpht.com/vGP9b70FRqupG0sIQuP8tnkCJmrHxkYekpLGZp_Jn1v5aXeKvXAksIV2ybPOwFv8diKuHaJ-LrKDAMg7rOdV","2018-04-11"
"gym","2292963897da41e898d0b31dcc84c8e4.16","52.677471","1.410351","Salhouse Bell","Pub","http://lh5.ggpht.com/BQL99XnaTnQjCJ3NzLGzeYZcPVcQWKMWizrYsMB0pGqZBQtVuB7aVlFz9d5I0RuLgmuw7XV_KmW8bwRPGHZT","2018-04-11"
"gym","2334e5533b254d6094fcd3c394a522dd.16","52.630913","1.30817","Bishop Bridge","","http://lh4.ggpht.com/XXW488HkkbCFSLBM5AZbfafEewkGlBk2Qc4xWBmwbq_u_cZ8lkzYND6j1mX-2MXGj5r7YvbUtf-Ki2sJiOo","2018-04-11"
"gym","24d10bb709354229903a16325aa2622f.16","52.571803","1.212693","East Carleton Village Sign","","http://lh3.ggpht.com/nqjsrcC-NqRkjlGGjCKSaALGyGJqu1xvQuwdccDWG6airNa6aJ9kH50XBb5xglf82iKaVSBrblV5um5AsAAVXg","2018-04-11"
"gym","255c640d747a4a69b5c6e8ee61b8daa5.11","52.632709","1.369389","Insanity","","http://lh3.googleusercontent.com/GWp4RR-q94ZPkVkcddozKlm5nYoUkT3UtuyJrL8XmM88JF4nfUpPcoN1SHSbOo_lKlCimF7XTEfBst498Q","2018-04-11"
"gym","256c991c5ce64a88b605718674999b01.16","52.620576","1.290785","Trafford Arms","","http://lh5.ggpht.com/4deOtMEFgGGRbbqXa-Hj99TXcJ63EKVTR4HVS-4rlOMHJ3ggUAhfnmX9eCy38ZKvRMYCc816T9KbKbywwLG6Qg","2018-04-11"
"gym","25ab903a333f46cb94ab308d30b7d039.16","52.636646","1.313937","Britannia Barracks arch, 1887","Date stone over entrance to Mousehold Prison","http://lh3.googleusercontent.com/-vgZjvs0oObvbBJZXMJqXRpF8NxmHxa_E3iR_r4oyhsx6rhw9VDg6yvRtNHBZpLpxF1OPtYmyoCYgrAgPXZLgA","2018-04-11"
"gym","29bacbf421834e20963a627047235a47.16","52.688331","1.207721","Taverham Graffiti Park","","http://lh5.ggpht.com/RJ2GZJ7H0UJKaTHjIEx9WVIOIHLOGIA0ofQ4Jmb3dDv0GZdTVOUVbTcNLJJvDNFajSxXSIhuctVxA5SulrQ","2018-04-11"
"gym","2a00c16a2ce5488fa1e95498a2805144.16","52.617478","1.219461","Yorkstone Sculpture by Teucer Wilson","A project supported by the Organ Donation Committee and R. G. Carter Construction. Commissioned by the Hospital Arts Project in 2013.","http://lh6.ggpht.com/z0l3KoYb7c6uxUTDPWW80mg7wqrRCTDkSEjQoLfSvNXgeHjrtGM6ueNFEm99ObgYvOV_08Y7XdpqM3TCxJ8Asg","2018-04-11"
"gym","2c45d5036b1e449d98ff4bb611110534.16","52.60783","1.281073","Tuckswood Library","","http://lh3.googleusercontent.com/H1m-h75cALO4saE__JoyHTCx8HIvzkF5lSXSswZvy6zgJLG9vFmF_pXryR2psO7hW1hD4Q6_5Rn7HAm6TdmC","2018-04-11"
"gym","2d7ca15c4cdc4930aa8494f33df62add.16","52.565609","1.349078","Poringland All Saints","","http://lh5.ggpht.com/UumvAnGX9ZPATdjJE8bkflPgVUh75MBQC9QjoE2hySXYhqWxE6vsPwZl3V_jVtUcO9-GkAbRW7HS-DH_KoVgpw","2018-04-11"
"gym","2dd82f5bc6c0478e8749bcb1bd6b0ba9.11","52.632921","1.292646","Golden Star","","http://lh5.ggpht.com/U9mjj9mU138sc28w2sh-A0Er3evSSOqvbQv3hd0dU3raCbDbIxtgvMWS1mLcPGk6fYP2OdoudXpMCpVDAArFxQ","2018-04-11"
"gym","2fffea5f2b804591a3d30d6fe99d2102.16","52.635118","1.296615","St Saviours","Community arts theatre","http://lh5.ggpht.com/CZvMrGqka-cGO69t5TorfoGxBXyhxyQtBI3T09uHr3VXE_pzM5_i7bnYJvlQNq_dzbRF4F2XL5bbjbD_A30o","2018-04-11"
"gym","30e0c595220d471c823b067558b9abdd.16","52.605774","1.280792","Harford Community Centre","","http://lh3.googleusercontent.com/AOkRqP4gvTSn6OdqHAJ6NVZ0Y8ebU_JoAKUe3dOB43QPpeF-7myQtjWtpK8AU1F78vForoINKshl9wHCKDaM","2018-04-11"
"gym","30ee85c047844120ae19c48889206c54.16","52.598755","1.185746","Hethersett Town Sign","","http://lh6.ggpht.com/xH-gowM7qXje5g0re1G-qJRfwN9781iZNj0nap_RAOnKSoyjmQpLQlaYJ9W9d1-or1lb8wuW2CJ3sPAgwz89","2018-04-11"
"gym","340a917c0ef4482dbe60a0bd6ad09635.11","52.606623","1.297046","St John the Baptist Lakenham","","http://lh4.ggpht.com/JiMzaBa_gzj0qsMkMrWciroO9jRYikWbeHp1lYdWyvfTyG_v-xeZljTpXMPYsmhMjsRMQyu-rujLqoaOZ74cWMiNTdWWL8SrXMPe7sQ-JpANLbZk","2018-04-11"
"gym","3704a428258b4a95adeb0a0f8c5c7687.11","52.633181","1.296836","St. Clements Church","","http://lh3.googleusercontent.com/hRWVzXFd-NqKlIq-S7atew3YS2y_piuNbifilXAu6v_NKcNwUoY2SskSQcKC2yZAISdmfJJi5ctsChn6Nwk","2018-04-11"
"gym","37b35a78c1834bffb83d7483052b149a.16","52.626025","1.312193","Jonathan Scott Hall","","http://lh5.ggpht.com/1pG9IW__y9ba3UBwwPxeZql3vmR1h6bnhIAW0z4hLP84-9QK35EkflE2mQAUpRpJVQGOkZ-oCOoVV8zKkwWK","2018-04-11"
"gym","387198aabaf94e7b93f66a8e9774016e.16","52.612451","1.31768","The White Horse","","http://lh3.googleusercontent.com/L0qVE70JAYg_SkL_BTHl7pjXRNcKF-P73huwzCuv83MZ7YflNa8-U9rSlDlH7HCmn04cZnsRuuky6b5qQpQ","2018-04-11"
"gym","3878dfa795034697960a43b4e58f62ce.16","52.620148","1.239548","Suffolk Terrace","Suffolk Ziggurat","http://lh3.googleusercontent.com/5Etw-2rgL3s2Ss2YQAqn9NfwPxiNu4rY0xpHPD_iKFF82Taj9xbOW_1YSTcuTdjRPJxzpvqoC1CRDsuKXZv1","2018-04-11"
"gym","3887aae42d8f4708973247223350a085.11","52.62902","1.292702","Guildhall Clock","","http://lh4.ggpht.com/UX_EEoVD0b9R8V05eOmHysuprSQC0xCwj8MhX3SA2j7SmLniADtKLj3HDUYEfhY_cUS7IYMUSHwnh3cs2KjCpA","2018-04-11"
"gym","38ad9952e54749ce8004bcaf9400be93.16","52.669089","1.300098","Old Catton Parish Council","Notification board","http://lh4.ggpht.com/sT4BdnKMgH3aSuBEb6iN24nDUk03CHkEDbqpF7GprtqsdOplv8J_sd4l4TbzFWpvaZv0LYQapQmbZF8AN2Mt","2018-04-11"
"gym","3929188c97ce406da1f18d0a8000c914.16","52.626959","1.329505","Thorpe House Heraldry","Heraldry sign for the former site of Thorpe School","http://lh3.googleusercontent.com/FMsWs-mRA942P0EKEZkIoupk1xCjFFuIQIiH6ao2mPFIYuI6JX6GRv-V-4hcsyyuxm32UtpnCYFy6g-auRwa","2018-04-11"
"gym","398a54569d5b432e894b38526f3d3c13.16","52.637008","1.336894","St Williams Way Library","","http://lh4.ggpht.com/ZdOjZXv8ijfMRqsm9rYzzaUxP_Guzx0SxYylUcsNtaFJwiZR7yZQ02ZzuQA_U9DTyplBzMjWDLaoeAZvh1oR","2018-04-11"
"gym","39bd9e274d384701be8b54fca138ec11.16","52.646403","1.409176","St. Gervaise and Protase Tower","Round tower","http://lh6.ggpht.com/sOgJVyKKLyDx601ve3CcEzWdOEjCAJo5ISIcQbA4goi_3AKpCuyuNDIEQGblq5uhPrO44UXQSKqCxboTGHA","2018-04-11"
"gym","39c27c9be8a04f5ebb6a178cd4131ac7.16","52.621944","1.233982","The Julian Study Centre","","http://lh3.ggpht.com/GISz1hWsYv-5gA9IhHKam69WZw9p9wb1cHbd15TTcKmpLIVsrWprUpVp3aCIznu2ED1o-lwVLUVzrXrRn0h9dw","2018-04-11"
"gym","3c696ba9e0414a6ba69c04d8f814a46c.16","52.653378","1.279343","Mile Cross Post Office","","http://lh3.ggpht.com/SVBkxwhsqa-sD2W1WVnL93d161E6zTs8F8ggPXGewh1ftQju_NkSNss5ZNB5Ws_ll_SfNKmeYHwh9mafEeFw","2018-04-11"
"gym","3de3a689c6a34611ade6eb5646c021aa.16","52.659969","1.213798","Kirklands","Houses, Captain - 80s houses","http://lh4.ggpht.com/l8ABsN-PVMngmhLIWoNYJnOPJDm2BXZ_NIM-HiM8GTtizR4hd0iyoAegE8DPSP4xCRiHEj4n3ZaSGJHdq-VZ","2018-04-11"
